"","pos","id","rodent","centre","tumour","slice_adc","pc_necrosis","total_cellularity","total_cellularity2","total_area","training.set","test.set","condition","group","n.adc","pi.adcgtpw","adc.mean","adc.median","adc.sd","adc.skewness","adc.kurtosis","adc.cutoff.N_BE","adc.cutoff.CT_GA","adc.cutoff.CT_NO","adc.cutoff.CV_GA","adc.cutoff.CV_NO","adc.cutoff.N_NO","adc.cutoffN","adc.cutoffCT","adc.cutoffCV","SHASH.mu","SHASH.sigma","SHASH.nu","SHASH.tau","missing","missing.A","missing.B","missing.C","missing.D","missing.E","missing.reason"
"UMHmouse_18|JOC1_C2_4_1L|1",174,"UMHmouse_18|JOC1_C2_4_1L|1","UMHmouse_18","ManTx","HCT116",13,41.0015,7253.2628,7904.193,28.33452,FALSE,TRUE,"HCT116Tx","Post-treatment",653,0,0.000681051522913028,0.000679212680552155,0.000102626087031236,0.559130398674115,4.53550535501941,-11.5129154649202,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000674295818655027,-9.42946407065329,-0.0662745421387635,-0.23144475032031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_20|JOC1_C3_3_1L1R|1",175,"UMHmouse_20|JOC1_C3_3_1L1R|1","UMHmouse_20","ManTx","HCT116",11,52.8607,8241.8038,9527.5934,43.72467,FALSE,TRUE,"HCT116Tx","Post-treatment",1200,0.00332225913621262,0.00130333860545458,0.00109626940684393,0.000624319611878002,0.64913897735435,2.2442334538467,-0.319353416289432,-2.16282315061889,-2.10647021406776,-1.40649706843741,-1.38629436111989,-1.33750419695046,0.2625,0.121666666666667,0.25,0.00103685652473489,-4.71211748237562,3.28082227000883,2.06716122847622,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT003327|KW143_3_327|1",176,"UMLT003327|KW143_3_327|1","UMLT003327","ManTx","Lovo",7,13.2646,9394.4795,9545.8672,36.82716,FALSE,TRUE,"LovoTx","Post-treatment",1166,0,0.000763356859774683,0.000721838470781222,0.000259565879026271,1.78005526273707,7.45495404943912,-2.87956084179195,-9.21034037197618,-9.21034037197618,-5.11542421785512,-5.11542421785512,-4.66343909411207,0.00943396226415094,1e-04,0.00600343053173242,0.000713382152376555,-8.95437514031524,-0.0705875489551795,-0.565913288122117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT007769|KW143_7_769|1",177,"UMLT007769|KW143_7_769|1","UMLT007769","ManTx","Lovo",9,12.3831,8740.5473,8860.557,37.10191,FALSE,TRUE,"LovoTx","Post-treatment",1157,0,0.000683784790906283,0.000668346241582185,0.000197301529493258,2.2024590000153,15.4478817051683,-4.20557019733233,-7.05358572719368,-7.05358572719368,-5.44414781475958,-5.44414781475958,-5.44414781475958,0.00432152117545376,0.000864304235090752,0.00432152117545376,0.000666880339512817,-9.32851462757228,-0.286489050472405,-0.536564086999694,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT009110|KW138_9_110|1",178,"UMLT009110|KW138_9_110|1","UMLT009110","ManTx","Lovo",10,54.4389,8245.5114,8885.6896,24.28576,FALSE,TRUE,"LovoTx","Post-treatment",724,0.00137931034482759,0.00095137889331846,0.000910416565602645,0.000402125139916886,0.943758003937614,4.85676331523732,-1.59623640057556,-4.50534985070588,-4.3875668150495,-3.4937489390274,-3.44929717645657,-3.25258688221051,0.0386740331491713,0.0124309392265193,0.031767955801105,0.000896373524888678,-8.0172934675921,0.0825570220314118,-0.268771986098795,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT010589|KW143_10_589|1",179,"UMLT010589|KW143_10_589|1","UMLT010589","ManTx","Lovo",11,19.1619,8241.089,8731.6178,21.6405,FALSE,TRUE,"LovoTx","Post-treatment",832,0.00120048019207683,0.00070931028830483,0.000663081737002358,0.000257593053761078,2.04855999182627,8.83511660913056,-2.95972590106335,-6.72383244082121,-6.72383244082121,-5.11439452838711,-5.11439452838711,-4.93207297159315,0.00721153846153846,0.00120192307692308,0.00600961538461538,0.000660667973191672,-9.19148669893307,-0.180000973187194,-0.66184388282095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT013524|KW138_13_524|1",180,"UMLT013524|KW138_13_524|1","UMLT013524","ManTx","Lovo",10,12.2897,9318.0095,9791.8119,29.88789,FALSE,TRUE,"LovoTx","Post-treatment",915,0,0.00080330107543017,0.000804185168817639,0.000187745610266767,0.135855721234002,3.46788161476663,-5.2040066870768,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000799824387627158,-8.83826326131185,-0.141686292787853,-0.188827490819949,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT015816|KW143_15_816|1",181,"UMLT015816|KW143_15_816|1","UMLT015816","ManTx","Lovo",7,34.0937,9753.938,9608.9861,33.9833,FALSE,TRUE,"LovoTx","Post-treatment",925,0,0.000701213284471148,0.000681599776726216,0.000233664699001193,0.935548884055043,4.58983832797868,-4.0397563719377,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,-9.21034037197618,1e-04,1e-04,1e-04,0.000669333028919826,-8.69394587219384,-0.00651857314720794,-0.343438313821581,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMLT222222|KW143_222_222|1",182,"UMLT222222|KW143_222_222|1","UMLT222222","ManTx","Lovo",10,18.2144,8641.3478,8765.5311,21.44515,FALSE,TRUE,"LovoTx","Post-treatment",607,0,0.000810648098509741,0.00072511367034167,0.000303534487865486,2.28322185752105,9.05513630568469,-2.47778918201914,-5.71538161049955,-5.30991650239139,-4.01063351826113,-4.01063351826113,-3.63594006881972,0.0263591433278418,0.00494233937397035,0.0181219110378913,0.000723292089019498,-9.11581848928827,0.00675478483010748,-0.736311825716523,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"RU120373_r22|Tu22|1",183,"RU120373_r22|Tu22|1","RU120373_r22","RunMC","CC531",1,32.535,10875.43,11788.49,19.41264,TRUE,FALSE,"CC531","Untreated",176,0,0.0012561202731211,0.00124471861636266,0.000162613582085455,1.26282461255771,7.96695668627329,-0.762140052046897,-9.21034037197618,-9.21034037197618,-5.17048399503815,-5.17048399503815,-5.17048399503815,0.00568181818181818,1e-04,0.00568181818181818,0.00124185983186442,-9.1750038911947,-0.127341351404897,-0.373400188934823,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
